"Date","Price","Open","High","Low","Vol.","Change %"
"11/02/2025","683.34","685.71","685.71","679.97","57.32M","0.19%"
"10/26/2025","682.06","682.73","689.70","679.24","373.94M","0.71%"
"10/19/2025","677.25","667.32","678.47","663.30","337.27M","1.94%"
"10/12/2025","664.39","660.65","670.23","653.17","457.11M","1.74%"
"10/05/2025","653.02","671.62","673.95","652.84","413.27M","-2.42%"
"09/28/2025","669.21","664.36","672.67","661.61","359.72M","1.12%"
"09/21/2025","661.82","662.20","667.34","654.41","378.04M","-0.28%"
"09/14/2025","663.70","659.64","664.89","654.30","415.30M","0.96%"
"09/07/2025","657.41","648.62","659.11","647.22","350.02M","1.57%"
"08/31/2025","647.24","637.50","652.21","634.92","303.20M","0.34%"
"08/24/2025","645.05","644.04","649.48","641.57","287.24M","-0.04%"
"08/17/2025","645.31","642.86","646.50","632.95","341.33M","0.29%"
"08/10/2025","643.44","637.46","646.19","634.66","311.58M","0.98%"
"08/03/2025","637.18","625.67","637.65","625.58","343.88M","2.49%"
"07/27/2025","621.72","637.48","639.85","619.29","439.38M","-2.41%"
"07/20/2025","637.10","628.77","637.58","626.19","322.10M","1.52%"
"07/13/2025","627.58","623.16","629.47","618.05","349.71M","0.64%"
"07/06/2025","623.62","623.36","626.87","617.87","321.15M","-0.28%"
"06/29/2025","625.34","617.38","626.28","615.04","280.11M","1.70%"
"06/22/2025","614.91","595.04","616.39","591.89","382.08M","3.47%"
"06/15/2025","594.28","600.40","604.45","592.86","332.85M","-0.46%"
"06/08/2025","597.00","599.72","605.06","595.48","346.56M","-0.36%"
"06/01/2025","599.14","587.76","600.83","585.06","341.58M","1.65%"
"05/25/2025","589.39","586.07","593.20","578.43","301.71M","1.78%"
"05/18/2025","579.11","588.10","595.54","575.60","370.87M","-2.54%"
"05/11/2025","594.20","581.47","594.50","577.04","360.54M","5.29%"
"05/04/2025","564.34","562.57","570.31","556.04","245.39M","-0.43%"
"04/27/2025","566.76","551.39","568.38","541.52","312.39M","2.93%"
"04/20/2025","550.64","521.16","551.05","508.46","361.18M","4.60%"
"04/13/2025","526.41","544.05","544.28","520.29","288.28M","-1.41%"
"04/06/2025","533.94","489.19","548.62","481.80","924.49M","5.67%"
"03/30/2025","505.28","549.83","567.42","505.06","569.90M","-9.07%"
"03/23/2025","555.66","570.80","576.41","555.07","263.18M","-1.48%"
"03/16/2025","563.98","562.79","570.95","558.03","328.33M","0.21%"
"03/09/2025","562.81","567.59","569.54","549.68","393.76M","-2.28%"
"03/02/2025","575.92","596.18","597.34","565.63","416.38M","-3.07%"
"02/23/2025","594.18","602.02","603.03","582.44","315.27M","-0.96%"
"02/16/2025","599.94","610.88","613.23","599.47","170.83M","-1.60%"
"02/09/2025","609.70","604.03","610.99","598.51","169.01M","1.49%"
"02/02/2025","600.77","592.67","608.13","590.49","216.53M","-0.17%"
"01/26/2025","601.82","594.81","609.96","594.64","257.92M","-1.01%"
"01/19/2025","607.97","600.67","610.78","598.67","166.49M","1.74%"
"01/12/2025","597.58","575.77","599.36","575.35","254.62M","2.94%"
"01/05/2025","580.49","596.27","599.70","578.55","228.48M","-1.94%"
"12/29/2024","591.95","587.89","592.60","580.50","201.72M","-0.51%"
"12/22/2024","595.01","590.89","602.48","587.66","197.10M","0.65%"
"12/15/2024","591.15","606.00","607.78","580.91","419.35M","-2.16%"
"12/08/2024","604.21","607.69","608.43","602.13","168.10M","-0.59%"
"12/01/2024","607.81","602.97","609.07","602.34","161.44M","0.87%"
"11/24/2024","602.55","599.52","603.35","595.20","152.24M","1.18%"
"11/17/2024","595.51","586.22","596.15","584.03","221.50M","1.67%"
"11/10/2024","585.75","599.81","600.17","583.86","242.87M","-2.08%"